name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp
Maruti 800 Std,2004.0,40000.0,57000.0,Petrol,Individual,Manual,Second Owner,4,796.0,37.0
Renault Scala Diesel RxZ,2014.0,625000.0,20328.0,Diesel,Dealer,Manual,First Owner,5,1461.0,84.8
Maruti Wagon R VXI,2014.0,400000.0,70000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04
Ford Figo Diesel Titanium,2014.0,325000.0,77000.0,Diesel,Dealer,Manual,First Owner,5,1399.0,68.05
Honda Amaze VX i-DTEC,2016.0,666000.0,61198.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,2018.0,1739999.9999999998,46000.0,Diesel,Dealer,Manual,First Owner,7,2393.0,147.8
Tata Nano Cx BSIV,2012.0,50000.0,5000.0,Petrol,Individual,Manual,First Owner,4,624.0,37.48
Hyundai Xcent 1.2 CRDi S,2019.0,560000.0,35000.0,Diesel,Individual,Manual,First Owner,5,1186.0,73.97
Mahindra Scorpio M2DI,2011.0,360000.0,100000.0,Diesel,Individual,Manual,Fourth & Above Owner,5,2179.0,115.0
Honda Brio V MT,2013.0,310000.0,42289.0,Petrol,Dealer,Manual,First Owner,5,1198.0,86.8
Jaguar XF 2.0 Diesel Pure,2016.0,2950000.0,28000.0,Diesel,Dealer,Automatic,First Owner,5,1999.0,177.0
Toyota Fortuner 2016-2021 2.8 2WD MT,2017.0,2750000.0,76000.0,Diesel,Dealer,Manual,First Owner,7,2755.0,174.5
Maruti Omni E 8 Str STD,2009.0,120000.0,140000.0,Petrol,Individual,Manual,First Owner,8,796.0,34.2
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2018.0,800000.0,70000.0,Diesel,Individual,Manual,Second Owner,7,1493.0,100.0
BMW 6 Series GT 630d Luxury Line,2019.0,6500000.0,9000.0,Diesel,Dealer,Automatic,First Owner,4,2993.0,261.4
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018.0,950000.0,40000.0,Diesel,Individual,Automatic,First Owner,5,1497.0,108.5
Maruti Wagon R LXI Minor,2007.0,125000.0,70000.0,Petrol,Individual,Manual,First Owner,5,1061.0,67.0
Toyota Innova Crysta 2.4 ZX MT BSIV,2017.0,1450000.0,81000.0,Diesel,Individual,Manual,First Owner,7,2393.0,147.8
Toyota Fortuner 2016-2021 2.8 2WD AT,2018.0,2800000.0,65000.0,Diesel,Dealer,Automatic,First Owner,7,2755.0,174.5
Hyundai Verna 1.6 SX CRDI (O) AT,2011.0,365000.0,75000.0,Diesel,Dealer,Automatic,First Owner,5,1582.0,126.32
Maruti Swift VDI BSIV,2008.0,280000.0,90000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Honda Amaze SX i-DTEC,2015.0,500000.0,98500.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Renault KWID RXT Optional,2017.0,270000.0,70000.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3
Maruti Wagon R VXI,2018.0,425000.0,30000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04
Mahindra TUV 300 T8,2018.0,880000.0000000001,80000.0,Diesel,Individual,Manual,First Owner,7,1493.0,100.0
Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,2017.0,2800000.0,70000.0,Diesel,Individual,Manual,First Owner,7,2755.0,174.5
Honda City VTEC,2006.0,235000.0,75000.0,Petrol,Dealer,Manual,First Owner,5,1493.0,106.0
Maruti Wagon R VXI BS IV,2012.0,200000.0,51000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.1
Hyundai i20 Asta 1.2,2015.0,500000.0,70000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83
Hyundai Verna 1.6 VTVT SX,2016.0,625000.0,23000.0,Petrol,Dealer,Manual,First Owner,5,1591.0,121.3
Hyundai EON 1.0 Kappa Magna Plus Optional,2015.0,315000.0,55000.0,Petrol,Dealer,Manual,First Owner,5,998.0,68.05
Hyundai Santro Xing GL,2010.0,145000.0,40000.0,Petrol,Dealer,Manual,First Owner,5,1086.0,62.0
Mahindra Scorpio S10 7 Seater,2015.0,850000.0,100000.0,Diesel,Individual,Manual,First Owner,7,2179.0,120.0
Hyundai Verna 1.6 SX VTVT (O),2013.0,500000.0,50000.0,Petrol,Individual,Manual,Second Owner,5,1591.0,121.3
Chevrolet Spark 1.0 LT,2009.0,80000.0,50000.0,Petrol,Individual,Manual,First Owner,5,995.0,62.0
Honda Amaze VX i-DTEC,2013.0,490000.00000000006,65675.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Volkswagen Vento Petrol Highline,2011.0,385000.0,50000.0,Petrol,Individual,Manual,First Owner,5,1598.0,103.6
Honda Amaze VX CVT Diesel BSIV,2019.0,900000.0,11000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,78.9
Maruti Swift Dzire VXI 1.2 BS IV,2019.0,648000.0,35000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8
Honda Amaze VX i-DTEC,2014.0,420000.0,105000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.6
Volkswagen Vento 1.2 TSI Highline AT,2015.0,525000.0,50000.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,103.2
Maruti Swift Dzire VDi,2009.0,180000.0,144000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,73.9
Maruti Swift Vdi BSIII,2009.0,275000.0,108000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,75.0
Hyundai i20 Asta Option 1.2,2015.0,585000.0,42000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.83
Volkswagen Vento Diesel Trendline,2011.0,385000.0,58733.0,Diesel,Dealer,Manual,First Owner,5,1598.0,103.6
Maruti Swift VDI BSIV,2017.0,585000.0,73000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0
Renault KWID Climber 1.0 MT Opt BSIV,2019.0,350000.0,30000.0,Petrol,Individual,Manual,First Owner,5,999.0,67.0
Honda City i DTEC V,2014.0,590000.0,74000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Maruti Ertiga VDI,2013.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,7,1248.0,88.76
Datsun GO Plus T,2015.0,290000.0,36000.0,Petrol,Dealer,Manual,First Owner,7,1198.0,67.05
Tata Tigor 1.2 Revotron XZA,2018.0,565000.0,17206.0,Petrol,Dealer,Automatic,First Owner,5,1199.0,84.0
Toyota Fortuner 3.0 Diesel,2012.0,1399000.0,70000.0,Diesel,Dealer,Manual,First Owner,7,2982.0,171.0
Chevrolet Trailblazer LTZ 4X2 AT,2017.0,1395000.0,42000.0,Diesel,Dealer,Automatic,First Owner,7,2776.0,197.2
Maruti Swift Dzire AMT ZXI Plus,2018.0,745000.0,9313.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,81.8
Maruti Alto Green LXi (CNG),2010.0,185000.0,11000.0,CNG,Dealer,Manual,First Owner,5,796.0,38.4
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1350000.0,75000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2016.0,570000.0,50000.0,Petrol,Dealer,Manual,First Owner,5,1598.0,103.52
Volkswagen Vento 1.5 TDI Highline,2015.0,575000.0,76000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,103.2
Renault KWID RXT Optional,2019.0,290000.0,21000.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3
Hyundai i20 Asta Option Diesel,2019.0,975000.0,15000.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.76
Ford Fiesta Classic 1.4 Duratorq CLXI,2012.0,300000.0,124000.0,Diesel,Individual,Manual,First Owner,5,1399.0,67.0
Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,2016.0,1695000.0,86000.0,Diesel,Dealer,Manual,First Owner,8,2393.0,147.8
Maruti Swift Dzire VDI,2015.0,525000.0,57000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0
Tata Hexa XMA,2017.0,1450000.0,30000.0,Diesel,Individual,Automatic,First Owner,7,2179.0,153.86
BMW 3 Series 320d,2014.0,1600000.0,85875.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,170.0
Toyota Etios G,2012.0,345000.0,52000.0,Petrol,Dealer,Manual,First Owner,5,1496.0,88.73
Maruti Ciaz Delta Diesel,2018.0,850000.0,20000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Maruti SX4 S Cross DDiS 320 Zeta,2016.0,795000.0,52000.0,Diesel,Dealer,Manual,First Owner,5,1598.0,118.0
Maruti Swift Dzire VDi,2009.0,275000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,73.9
Maruti Alto K10 2010-2014 VXI,2011.0,190000.0,92500.0,Petrol,Individual,Manual,Second Owner,5,998.0,67.1
Maruti Ciaz ZXi,2014.0,545000.0,48000.0,Petrol,Dealer,Manual,First Owner,5,1373.0,91.1
Mercedes-Benz M-Class ML 250 CDI,2014.0,2450000.0,64000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,203.2
Chevrolet Spark 1.0 LS,2008.0,195000.0,42000.0,Petrol,Dealer,Manual,First Owner,5,995.0,62.0
Maruti Wagon R LXI CNG,2018.0,350000.0,93000.0,CNG,Individual,Manual,First Owner,5,998.0,58.16
Hyundai Santro Xing GLS,2011.0,210000.0,50000.0,Petrol,Individual,Manual,Second Owner,5,1086.0,62.1
Skoda Rapid 1.5 TDI Elegance Plus Black Package,2015.0,625000.0,65785.0,Diesel,Dealer,Manual,First Owner,5,1498.0,103.52
Maruti Swift Dzire VDI,2015.0,530000.0,84405.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Ford Figo Diesel Titanium,2013.0,240000.0,45788.0,Diesel,Dealer,Manual,First Owner,5,1399.0,68.0
Hyundai Xcent 1.2 VTVT SX,2018.0,550000.0,50000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86
Maruti Baleno Delta 1.2,2018.0,550000.0,28563.0,Petrol,Dealer,Manual,First Owner,5,1197.0,83.1
Maruti Wagon R AMT VXI,2018.0,448000.0,30000.0,Petrol,Individual,Automatic,First Owner,5,998.0,67.0
Tata Safari Storme EX,2014.0,690000.0,119000.0,Diesel,Dealer,Manual,First Owner,7,2179.0,138.1
Honda City i VTEC CVT VX,2015.0,800000.0,23000.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.3
Maruti Alto 800 LXI,2016.0,285000.0,29000.0,Petrol,Dealer,Manual,First Owner,5,796.0,47.3
Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,2017.0,1445000.0,61000.0,Diesel,Dealer,Automatic,First Owner,7,2755.0,171.5
Hyundai EON LPG Era Plus,2013.0,210000.0,25000.0,LPG,Individual,Manual,First Owner,5,814.0,55.2
Hyundai Creta 1.6 VTVT SX Plus Dual Tone,2015.0,875000.0,64000.0,Petrol,Dealer,Manual,First Owner,5,1591.0,121.3
Ford Ikon 1.3 IRIS,2010.0,160000.0,70000.0,Petrol,Individual,Manual,First Owner,5,1299.0,70.0
Hyundai EON Era,2013.0,250000.0,42130.0,Petrol,Individual,Manual,First Owner,5,814.0,55.2
Hyundai Grand i10 1.2 CRDi Sportz,2018.0,550000.0,11510.0,Diesel,Dealer,Manual,First Owner,5,1186.0,73.97
Hyundai Santro Xing GL,2008.0,175000.0,40000.0,Petrol,Individual,Manual,First Owner,5,1086.0,62.0
Maruti 800 Std,2004.0,75000.0,50000.0,Petrol,Individual,Manual,First Owner,4,796.0,37.0
Ford Figo Diesel Titanium,2011.0,335000.0,65000.0,Diesel,Dealer,Manual,First Owner,5,1399.0,68.0
Hyundai Grand i10 Magna,2014.0,380000.0,50000.0,Petrol,Individual,Manual,Second Owner,5,1197.0,82.0
BMW 5 Series 530d,2013.0,2000000.0,60000.0,Diesel,Individual,Automatic,First Owner,5,2993.0,235.0
Hyundai Creta 1.6 SX Automatic,2018.0,1215000.0,47800.0,Petrol,Individual,Automatic,First Owner,5,1591.0,121.3
Hyundai i10 Era,2013.0,250000.0,37200.0,Petrol,Dealer,Manual,First Owner,5,1086.0,68.05
Mahindra Thar 4X4,2013.0,500000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2498.0,105.0
Mercedes-Benz C-Class C 200 Kompressor Elegance AT,2012.0,1050000.0,41315.0,Petrol,Dealer,Automatic,First Owner,5,1796.0,186.0
Tata Indigo CR4,2011.0,200000.0,84321.0,Diesel,Individual,Manual,First Owner,5,1396.0,70.0
Hyundai Creta 1.6 CRDi AT SX Plus,2015.0,930000.0000000001,40000.0,Diesel,Dealer,Automatic,First Owner,5,1582.0,126.2
Maruti Swift LXI,2020.0,445000.0,1000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8
Hyundai Grand i10 Sportz,2015.0,500000.0,51765.0,Petrol,Individual,Manual,First Owner,5,1197.0,82.0
Maruti Ertiga SHVS ZDI Plus,2016.0,850000.0,110000.0,Diesel,Individual,Manual,First Owner,7,1248.0,88.5
Maruti Alto 800 CNG LXI,2013.0,210000.0,46783.0,CNG,Dealer,Manual,First Owner,5,796.0,47.3
Hyundai i20 Sportz Option 1.2,2016.0,560000.0,40000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83
Renault KWID RXT,2016.0,240000.0,59300.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3
Ford Figo Petrol ZXI,2013.0,409999.99999999994,43000.0,Petrol,Dealer,Manual,First Owner,5,1196.0,70.0
Toyota Innova 2.5 VX 7 STR,2012.0,725000.0,159000.0,Diesel,Individual,Manual,Second Owner,7,2494.0,102.0
Hyundai Creta 1.6 SX Automatic,2016.0,890000.0,40000.0,Petrol,Dealer,Automatic,First Owner,5,1591.0,121.3
Toyota Fortuner 4x2 AT,2014.0,1680000.0,61000.0,Diesel,Dealer,Automatic,First Owner,7,2982.0,168.5
Tata New Safari 3L Dicor LX 4x2,2012.0,450000.0,68240.0,Diesel,Dealer,Manual,First Owner,7,2956.0,138.1
